City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
257,Hambantota,LK,6.1241,81.1185,79.14,100,99,10.36,overcast clouds
258,Bage,BR,-31.3314,-54.1069,61.74,98,100,9.06,overcast clouds
259,Mwene-Ditu,CD,-7.0,23.45,66.58,93,100,2.73,overcast clouds
260,Batesville,US,35.7698,-91.641,59.41,47,0,4.61,clear sky
261,Cantapoy,PH,9.4906,125.4364,84.83,70,97,4.85,overcast clouds
262,Tessalit,ML,20.1986,1.0114,75.07,22,29,11.18,scattered clouds
263,Pushkino,RU,56.0172,37.8667,35.89,83,91,5.75,overcast clouds
264,Vanavara,RU,60.34,102.2797,33.24,78,88,5.97,overcast clouds
265,Talaya,RU,61.3833,152.75,7.68,86,100,2.06,overcast clouds
266,Turayf,SA,31.6725,38.6637,66.83,54,100,6.58,overcast clouds
267,Merauke,ID,-8.4667,140.3333,84.6,72,58,9.04,broken clouds
268,Puerto Madryn,AR,-42.7692,-65.0385,48.78,57,87,14.14,overcast clouds
269,Rupert,US,42.6191,-113.6772,51.19,49,0,10.36,clear sky
270,Penon Blanco,MX,24.7897,-104.0369,57.36,62,1,2.93,clear sky
271,Shingu,JP,33.7333,135.9833,69.73,53,4,3.31,clear sky
272,Loikaw,MM,19.6742,97.2094,77.61,62,5,3.29,clear sky
273,Olinda,BR,-8.0089,-34.8553,76.1,73,31,12.17,scattered clouds
274,Poum,NC,-20.2333,164.0167,77.02,68,93,19.6,overcast clouds
275,Pangnirtung,CA,66.1451,-65.7125,28.22,93,100,11.83,snow
276,Zainsk,RU,55.3195,52.0694,29.39,87,6,4.41,clear sky
277,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,9.22,clear sky
278,Hovd,MN,48.0056,91.6419,42.87,29,75,4.23,broken clouds
279,Nelson Bay,AU,-32.7167,152.15,70.0,93,100,4.0,light rain
280,Bandarban,BD,22.1965,92.2262,88.9,56,4,1.12,clear sky
281,Zharkent,KZ,44.1628,80.0,57.24,27,21,3.29,few clouds
282,Murgab,TM,37.4966,61.9714,66.29,27,54,10.18,broken clouds
283,Pirovskoye,RU,57.6267,92.2658,36.0,98,100,6.73,light rain
284,Nueva Gerona,CU,21.8833,-82.8,73.56,70,45,13.29,scattered clouds
285,Campoverde,PE,-8.4753,-74.8058,74.34,87,47,2.93,scattered clouds
286,La Reforma,MX,25.0833,-108.05,78.6,78,4,4.59,clear sky
287,Smidovich,RU,48.6,133.8167,43.9,70,100,0.65,moderate rain
288,Vila Velha,BR,-20.3297,-40.2925,73.94,88,62,5.01,broken clouds
289,Gualeguay,AR,-33.1416,-59.3097,59.22,88,98,3.0,overcast clouds
290,Husainabad,IN,24.5333,84.0167,78.48,61,0,0.81,clear sky
291,Kedougou,SN,12.5579,-12.1743,72.39,91,18,3.76,few clouds
292,Nikolskoye,RU,59.7035,30.7861,40.91,97,100,3.6,overcast clouds
293,Lubango,AO,-14.9172,13.4925,62.83,60,42,0.38,scattered clouds
294,Simao,CN,22.7886,100.9748,75.11,47,78,1.36,broken clouds
295,Iguape,BR,-24.7081,-47.5553,68.49,97,96,3.49,moderate rain
296,Agadez,NE,19.75,10.25,66.96,34,0,8.63,clear sky
297,Chake Chake,TZ,-5.2459,39.7666,74.86,77,82,5.88,broken clouds
298,Boralday,KZ,43.3578,76.8594,52.47,42,24,4.81,few clouds
299,Bend,US,44.0582,-121.3153,59.47,50,0,1.01,clear sky
300,Kudahuvadhoo,MV,2.6708,72.8944,81.82,70,92,13.71,overcast clouds
301,Lavrentiya,RU,65.5833,-171.0,34.14,99,100,8.59,light snow
302,Kjollefjord,NO,70.9457,27.3465,35.42,80,40,16.11,scattered clouds
303,Ancud,CL,-41.8697,-73.8203,40.23,86,10,6.82,clear sky
304,Shawville,CA,45.6001,-76.4827,39.76,89,42,7.31,scattered clouds
305,Adrar,MR,20.5022,-10.0711,81.9,19,99,10.2,overcast clouds
306,Griffith,US,41.5284,-87.4237,50.9,64,0,3.44,clear sky
307,Kendari,ID,-3.945,122.4989,88.18,61,77,6.29,broken clouds
308,Muzhi,RU,65.3667,64.6667,29.28,89,60,7.07,broken clouds
309,Broome,US,42.2506,-75.833,41.38,74,75,5.75,broken clouds
310,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,37.35,50,100,4.21,overcast clouds
311,Kamaishi,JP,39.2667,141.8833,65.95,63,55,11.88,broken clouds
312,Vizinga,RU,61.0749,50.1031,31.93,78,85,13.78,light snow
313,Seshcha,RU,53.7361,33.3387,32.32,93,20,3.87,few clouds
314,Morrinhos,BR,-17.7311,-49.0994,77.97,41,100,3.96,overcast clouds
315,Dauriya,RU,49.9333,116.8667,44.73,32,20,12.35,few clouds
316,Teruel,ES,40.6667,-0.6667,53.26,72,100,20.56,overcast clouds
317,Tateyama,JP,34.9833,139.8667,69.22,55,2,13.85,clear sky
318,Yibin,CN,28.7667,104.6238,79.32,39,59,1.95,broken clouds
319,Chuy,UY,-33.6971,-53.4616,58.89,96,100,4.65,moderate rain
320,Toppenish,US,46.3774,-120.3087,64.87,52,2,7.67,clear sky
321,Prainha,BR,-1.8,-53.48,76.03,83,8,2.8,clear sky
322,Dawei,MM,14.0833,98.2,87.1,57,77,8.08,broken clouds
323,Champerico,GT,14.3,-91.9167,78.94,85,90,3.06,moderate rain
324,Sheridan,US,44.8333,-106.9173,52.18,40,0,10.36,clear sky
325,Jeremie,HT,18.65,-74.1167,78.91,78,76,2.1,broken clouds
326,Tautira,PF,-17.7333,-149.15,77.31,80,55,18.16,light rain
327,Alausi,EC,-2.2,-78.8333,49.93,96,100,1.16,overcast clouds
328,Baruun-Urt,MN,46.6806,113.2792,40.41,47,81,1.23,broken clouds
329,Emporia,US,38.4039,-96.1817,53.8,43,0,9.22,clear sky
330,Margate,GB,51.3813,1.3862,57.87,96,85,3.0,overcast clouds
331,Sur,OM,22.5667,59.5289,85.06,33,0,1.79,clear sky
332,Ostersund,SE,63.1792,14.6357,34.25,100,100,4.0,mist
333,Koutiala,ML,12.3917,-5.4642,77.29,48,81,5.14,broken clouds
334,Talara,PE,-4.5772,-81.2719,63.72,80,99,16.93,overcast clouds
335,Tulum,MX,20.2167,-87.4667,69.26,93,34,5.84,scattered clouds
336,Itupiranga,BR,-5.1347,-49.3267,77.14,77,65,3.96,broken clouds
337,Birao,CF,10.2849,22.7882,72.64,74,86,2.08,overcast clouds
338,Mahibadhoo,MV,3.7833,72.9667,81.91,72,91,13.96,overcast clouds
339,Acurenam,GQ,1.0322,10.6488,66.78,99,97,1.03,overcast clouds
340,Nioro,GM,13.35,-15.75,74.21,91,5,3.67,clear sky
341,Kruisfontein,ZA,-34.0033,24.7314,56.7,82,95,3.27,overcast clouds
342,Weyburn,CA,49.6668,-103.8511,50.49,58,66,15.3,broken clouds
343,Feijo,BR,-8.1642,-70.3536,73.44,98,100,2.19,overcast clouds
344,Hasaki,JP,35.7333,140.8333,73.22,53,2,15.21,clear sky
345,Karratha,AU,-20.7377,116.8463,88.0,43,3,16.02,clear sky
346,Narsaq,GL,60.9167,-46.05,32.22,70,100,8.79,overcast clouds
